"","qseqid","sseqid","stitle","evalue","bitscore","pident","qcovs","qcovhsp","query","superkingdom","phylum","class","order","family","genus","species"
"53","ASV1047","gi|1002663898|gb|KU327566.1|","Uncultured bacterium clone OTU_7331 16S ribosomal RNA gene, partial sequence",1.13e-123,457,99.209,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"54","ASV1048","gi|1834205066|gb|MT367851.1|","Exiguobacterium indicum strain OsEp_A&N_30A6 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"296995","Bacteria","Bacillota","Bacilli","Bacillales",NA,"Exiguobacterium","Exiguobacterium indicum"
"55","ASV1049","gi|1766743891|gb|MN577386.1|","Advenella sp. strain SNH_M35 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"1872388","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","Advenella sp."
"56","ASV105","gi|1080080677|gb|KX992270.1|","Uncultured bacterium clone Otu02048 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"57","ASV1050","gi|82175101|dbj|AB241214.1|","Uncultured bacterium gene for 16S rRNA, partial sequence, clone: DL158",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"58","ASV1051","gi|1052475733|gb|KX703958.1|","Uncultured bacterium clone 1848 16S ribosomal RNA gene, partial sequence",1.14e-118,440,98.024,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"59","ASV1052","gi|1861039703|dbj|LC546530.1|","Rhizobiales bacterium LE-127 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1909294","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,"Hyphomicrobiales bacterium"
"60","ASV1053","gi|1493677543|gb|MG807498.1|","Actinomycetes bacterium strain 620-57 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1883427","Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA,"Actinomycetes bacterium"
"61","ASV1054","gi|1173240567|gb|KY880694.1|","Uncultured bacterium clone denovo9331 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"62","ASV1055","gi|1861039698|dbj|LC546525.1|","Rhizobiales bacterium LE-106 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1909294","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,"Hyphomicrobiales bacterium"
"63","ASV106","gi|1798226648|gb|MN960194.1|","Gluconobacter sp. strain PFY-8 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"1876758","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconobacter","Gluconobacter sp."
"64","ASV107","gi|298397700|gb|HM112394.1|","Uncultured Acetobacteraceae bacterium clone SHOB703 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"169975","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,"uncultured Acetobacteraceae bacterium"
"65","ASV108","gi|1858285716|gb|CP054593.1|","Curtobacterium sp. Csp2 chromosome",5.23e-127,468,100,100,100,"2495430","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium sp. Csp2"
"66","ASV109","gi|1859618112|gb|MT641242.1|","Enterobacter sp. strain M5 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"42895","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter sp."
"67","ASV110","gi|1851781587|gb|MT586008.1|","Flavobacterium sp. strain 2750 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"239","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp."
"68","ASV111","gi|1828351019|gb|MT281377.1|","Luteibacter rhizovicinus strain AR20-65 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"242606","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Luteibacter","Luteibacter rhizovicinus"
"69","ASV112","gi|2314988938|ref|NC_067073.1|","Phytophthora clandestina voucher P3942 mitochondrion, complete genome",6.84e-121,448,98.425,100,100,"89334","Eukaryota","Oomycota",NA,"Peronosporales","Peronosporaceae","Phytophthora","Phytophthora clandestina"
"70","ASV113","gi|1215167300|dbj|LC304828.1|","Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:17982",3.18e-119,442,98.031,100,100,"198431",NA,NA,NA,NA,NA,NA,"uncultured prokaryote"
"71","ASV115","gi|1050244022|gb|KU571842.1|","Uncultured bacterium clone denovo108514 16S ribosomal RNA gene, partial sequence",1.13e-123,457,99.209,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"72","ASV116","gi|1962353826|emb|LR604924.1|","uncultured Acetobacteraceae bacterium partial 16S rRNA gene",5.26e-122,451,98.814,100,100,"169975","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,"uncultured Acetobacteraceae bacterium"
"73","ASV117","gi|1189448066|gb|MF046760.1|","Uncultured bacterium clone A178 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"74","ASV118","gi|1604994845|gb|MK720714.1|","Tatumella ptyseos strain CC45 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"82987","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella ptyseos"
"75","ASV12","gi|1682789804|gb|MK128664.1|","Asaia sp. clone Bandarabbas 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1872642","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Asaia","Asaia sp."
"76","ASV121","gi|1189448268|gb|MF046962.1|","Uncultured bacterium clone A380 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"77","ASV122","gi|1845864885|gb|MT515449.1|","Sphingomonas sp. strain HM20 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"28214","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp."
"78","ASV123","gi|1834205017|gb|MT367802.1|","Pseudomonas sp. strain OsEp_Plm_30B14 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"306","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp."
"79","ASV124","gi|1189448911|gb|MF047605.1|","Uncultured bacterium clone A1023 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"80","ASV125","gi|1834205021|gb|MT367806.1|","Enterobacter ludwigii strain OsEp_Plm_30B20 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"299767","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter ludwigii"
"81","ASV127","gi|1189447936|gb|MF046630.1|","Uncultured bacterium clone A48 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"82","ASV129","gi|2505671963|emb|OX608076.1|","Eupeodes luniger genome assembly, chromosome: 4",7.46e-56,231,88.06,77,77,"1124559","Eukaryota","Arthropoda","Insecta","Diptera","Syrphidae","Eupeodes","Eupeodes luniger"
"83","ASV130","gi|1779795228|gb|MN752692.1|","Rheinheimera mesophila strain KR2-11 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1547515","Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rheinheimera","Rheinheimera mesophila"
"84","ASV131","gi|1962353851|emb|LR604937.1|","uncultured Leuconostoc sp. partial 16S rRNA gene",2.45e-120,446,98.419,100,100,"173262","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","uncultured Leuconostoc sp."
"85","ASV132","gi|1605039372|gb|MK726438.1|","Uncultured bacterium clone OTU_59 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"86","ASV133","gi|1049565626|gb|KX656658.1|","Lactobacillus timberlakei strain HV_28 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2008380","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus","Apilactobacillus timberlakei"
"87","ASV134","gi|1770960948|gb|MN629084.1|","Methylorubrum extorquens strain B44 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"408","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum","Methylorubrum extorquens"
"88","ASV135","gi|1800440842|dbj|LC519864.1|","Lactobacillus ozensis JCM 17196 gene for 16S rRNA, partial sequence",2.43e-125,462,99.605,100,100,"866801","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus","Apilactobacillus ozensis"
"89","ASV137","gi|1847919010|dbj|LC508650.1|","Methylobacterium sp. PPFM635 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"409","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium sp."
"90","ASV138","gi|1607185088|gb|MK747349.1|","Uncultured bacterium clone 16S_rRNA_OTU_OTU699 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"91","ASV139","gi|1189449862|gb|MF048556.1|","Uncultured bacterium clone A1974 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"92","ASV140","gi|1827354748|gb|MT270805.1|","Sphingomonas sp. strain YZX-4 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"28214","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp."
"93","ASV141","gi|1858273108|gb|MT613873.1|","Acinetobacter junii strain DKD 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"40215","Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter junii"
"94","ASV142","gi|1834205070|gb|MT367855.1|","Aureimonas phyllosphaerae strain OsEp_A&N_30A11 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1166078","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Aureimonas","Aureimonas phyllosphaerae"
"95","ASV144","gi|1861039540|dbj|LC546438.1|","Curtobacterium sp. BA-222 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1869344","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium sp."
"96","ASV145","gi|1137140690|gb|KY518050.1|","Uncultured bacterium clone ELA_111314_OTU_2589 16S ribosomal RNA gene, partial sequence",2.45e-120,446,98.419,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"97","ASV146","gi|767812365|gb|KP412083.1|","Uncultured bacterium clone HUSOE0I01CD3QW 16S ribosomal RNA gene, partial sequence",1.14e-118,440,98.024,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"98","ASV151","gi|1776515870|gb|MN701872.1|","Acinetobacter rathckeae strain EC115 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2605272","Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter rathckeae"
"99","ASV152","gi|1825981814|gb|MT256089.1|","Lonsdalea quercina strain YMQ15-2 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"71657","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Lonsdalea","Lonsdalea quercina"
"100","ASV153","gi|2508454184|gb|OR021750.1|","Zymobacter sp. strain 36_Tf_h_17 16S ribosomal RNA gene, partial sequence",1.13e-123,457,99.209,100,100,"3048686","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Zymobacter","Zymobacter sp."
"101","ASV156","gi|1800440836|dbj|LC519858.1|","Lactobacillus floricola JCM 16512 gene for 16S rRNA, partial sequence",2.43e-125,462,99.605,100,100,"679249","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Holzapfeliella","Holzapfeliella floricola"
"102","ASV16","gi|1383428725|dbj|LC318485.1|","Apilactobacillus micheneri 11D gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1899430","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus","Apilactobacillus micheneri"
"103","ASV160","gi|1833253144|gb|MT360240.1|","Frigoribacterium sp. strain YMA_27 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"1880915","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Frigoribacterium","Frigoribacterium sp."
"104","ASV161","gi|1369483563|gb|MH111796.1|","Uncultured prokaryote clone otu1129 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"198431",NA,NA,NA,NA,NA,NA,"uncultured prokaryote"
